iter	RMSE
132	0.41713724
133	0.4170897874
134	0.4169742261
135	0.416761329
136	0.4165581894
137	0.4164713949
138	0.4164234812
139	0.4163097531
140	0.4162652142
141	0.4162251333
142	0.4161869038
143	0.4161200716
144	0.4161017718
145	0.416076607
146	0.4158780606
147	0.4158286044
148	0.4157943545
149	0.4157776398
150	0.4157504191
151	0.4157389403
152	0.4157001415
153	0.4155388809
154	0.4154732498
155	0.4154671078
156	0.4154620072
157	0.4153210666
158	0.4152922172
159	0.4152450766
160	0.4151929937
161	0.4151212144
162	0.4150903016
163	0.4150104597
164	0.4149619693
165	0.4147446118
166	0.4146767218
167	0.4145742005
168	0.4145583917
169	0.4143704635
170	0.4143443339
171	0.4142762105
172	0.4141367908
173	0.4139479466
174	0.4139279069
175	0.4138253687
176	0.4137935944
177	0.4137870112
178	0.4137572291
179	0.4135590839
180	0.4134353391
181	0.4133556319
182	0.4132618571
183	0.4131618921
184	0.4130762
185	0.4130397306
186	0.4129008234
187	0.4129000681
188	0.4128779719
189	0.412818017
190	0.4127880787
191	0.4126667178
192	0.4125516861
193	0.4124802765
194	0.4124413132
195	0.4123913064
196	0.4123361937
197	0.4122332448
198	0.412202738
199	0.4121606235
200	0.4121596632
201	0.4120605844
202	0.4119443252
203	0.4118669196
204	0.4117077549
205	0.4116209829
206	0.4115037697
207	0.4114608303
208	0.4112921722
209	0.4111994462
210	0.4110682329
211	0.4110213268
212	0.4109051836
213	0.4108028589
214	0.4106891849
215	0.4106308653
216	0.4105879105
217	0.4105661326
218	0.4105473303
219	0.4104881403
220	0.4103444816
221	0.4102818787
222	0.4102611942
223	0.4102359488
224	0.4101665647
225	0.4101604175
226	0.4101274002
227	0.4100922868
228	0.4100614454
229	0.410014194
230	0.4099382014
231	0.4098504339
232	0.4098498186
233	0.4098472236
234	0.4097996474
235	0.4097690723
236	0.4097664289
237	0.4097639403
238	0.4096142273
239	0.4096071219
240	0.4094620665
241	0.4094022783
242	0.4093786758
243	0.4092542126
244	0.409228554
245	0.40918936
246	0.4091354425
247	0.4090557347
248	0.4090149036
249	0.4089643929
250	0.4089324496
251	0.4088315893
252	0.4087431231
253	0.4086242581
254	0.4086215016
255	0.4086156101
256	0.4085866485
257	0.4085421511
258	0.4084458712
259	0.4083489703
260	0.4082823195
261	0.4081800434
262	0.4081455766
263	0.4081022073
264	0.4080628379
265	0.4080279256
266	0.4079126829
267	0.4078143832
268	0.407754459
269	0.4076801157
270	0.4076050886
271	0.4075925648
272	0.4075910529
273	0.4074660683
274	0.4074143482
275	0.4073729108
276	0.4073704934
277	0.4072447266
278	0.407216153
279	0.4072011218
280	0.4070789843
281	0.4069996062
282	0.4069301982
283	0.4068446601
284	0.406780625
285	0.4067386948
286	0.4066648679
287	0.4066387017
288	0.4066274173
289	0.4065749654
290	0.4065193423
291	0.4064439328
292	0.4063306809
293	0.406227934
294	0.4061807569
295	0.4061363315
296	0.4060723405
297	0.4060526406
298	0.4060504939
299	0.4059531431
300	0.4058740658
301	0.4058275378
302	0.4057995106
303	0.4057930009
304	0.4057115082
305	0.405648419
306	0.4056125996
307	0.4055702319
308	0.4054970196
309	0.405469268
310	0.4053799692
311	0.4053327934
312	0.4052572846
313	0.4052493837
314	0.4052065904
315	0.4051765462
316	0.4051735572
317	0.4051539815
318	0.4050818897
319	0.4050536151
320	0.4049785038
321	0.4049555777
322	0.4049528826
323	0.4049432207
324	0.4049348532
325	0.4048238637
326	0.4047696497
327	0.4047492472
328	0.404707896
329	0.4046612231
330	0.4046560845
331	0.4046294213
332	0.4045668799
333	0.4045489999
334	0.4045074911
335	0.4044431272
336	0.4043463767
337	0.4043147122
338	0.4042140437
339	0.4041253161
340	0.4040805846
341	0.4039437974
342	0.4039061004
343	0.403836955
344	0.4038191
345	0.4037638137
346	0.4036833118
347	0.4036448852
348	0.4035996051
349	0.403559439
350	0.4034993968
351	0.4034354187
352	0.4033617578
353	0.403273026
354	0.4031880171
355	0.4031474705
356	0.4030358665
357	0.4030112854
358	0.402988931
359	0.4029711711
360	0.4029241841
361	0.4028700716
362	0.4028280255
363	0.4027994496
364	0.4027169779
365	0.4026127921
366	0.4025373178
367	0.4024593496
368	0.4024208348
369	0.4023911904
370	0.4023331679
371	0.4023083449
372	0.4022576016
373	0.402185871
374	0.4021758128
375	0.4021442425
376	0.4020903542
377	0.4020705603
378	0.4019911709
379	0.4019002275
380	0.401823415
381	0.401819438
382	0.4017109387
383	0.4016761375
384	0.401630126
385	0.4016115779
386	0.4016113559
387	0.4015642645
388	0.4015640468
389	0.4015410666
390	0.4014890559
391	0.401461647
392	0.4014206777
393	0.4014065115
394	0.4013414158
395	0.4012803537
396	0.401243233
397	0.401211195
398	0.4011306747
399	0.4010584446
400	0.4010272192
401	0.4010265587
402	0.4009744506
403	0.4009531668
404	0.4008866467
405	0.4008295147
406	0.4007696479
407	0.4006839972
408	0.4006589106
409	0.4006435644
410	0.400601159
411	0.4005995037
412	0.4005992994
413	0.4005976795
414	0.4005718113
415	0.4005463407
416	0.4005159289
417	0.4004703176
418	0.4004687402
419	0.4003878132
420	0.4003579802
421	0.4003547846
422	0.400309678
423	0.4002622126
424	0.4002242671
425	0.4001522471
426	0.400076984
427	0.4000427503
428	0.3999899642
429	0.3999574226
430	0.399923535
431	0.3998709966
432	0.3998703156
433	0.3998457094
434	0.3998097109
435	0.3997746519
436	0.3997352969
437	0.3996870075
438	0.3996724032
439	0.3996000833
440	0.3995873974
441	0.3995723215
442	0.3995349292
443	0.3995204923
444	0.3994768026
445	0.3994141921
446	0.3993923677
447	0.3993426693
448	0.399289872
449	0.3992196841
450	0.3991529788
451	0.3990903948
452	0.3990624499
453	0.3989964371
454	0.3989803669
455	0.3989128177
456	0.3988897923
457	0.3988200717
458	0.3987560772
459	0.3987100975
460	0.3986698728
461	0.3985708782
462	0.398525823
463	0.3984769378
464	0.3984557973
465	0.398377344
466	0.3983390336
467	0.3982781673
468	0.398223716
469	0.3981742883
470	0.3981298815
471	0.3980699546
472	0.3980592654
473	0.397994194
474	0.3979688302
475	0.3979397004
476	0.3979198499
477	0.3979195571
478	0.3979043269
479	0.3979032224
480	0.3978852501
481	0.3978664196
482	0.3978650304
483	0.3978639882
484	0.3978011526
485	0.3977132723
486	0.3976414321
487	0.3975705858
488	0.3975214968
489	0.3974762268
490	0.3974494897
491	0.3974486683
492	0.3974176547
493	0.3973762802
494	0.3973615525
495	0.3973306232
496	0.3973184221
497	0.3973002827
498	0.3972718575
499	0.3972378725
500	0.3972095083
501	0.3972085337
502	0.397165835
503	0.3971388879
504	0.3971348173
505	0.3971267536
506	0.3971148905
507	0.3970491914
508	0.3970450348
509	0.3970132662
510	0.3969814773
511	0.396965291
512	0.3969129146
513	0.3968723071
514	0.3968131755
515	0.3967277123
516	0.3966675134
517	0.3966664979
518	0.3966150103
519	0.3965848831
520	0.396553841
521	0.396541772
522	0.3965066115
523	0.396486292
524	0.3964329116
525	0.3964189633
526	0.3963841537
527	0.3963195243
528	0.3962828991
529	0.3962823328
530	0.3962086087
531	0.396148162
532	0.3961047509
533	0.3960653386
534	0.3960398711
535	0.3959812747
536	0.395929576
537	0.3959040686
538	0.3958448078
539	0.3957798664
540	0.3957221213
541	0.3956662419
542	0.3955987519
543	0.3955648867
544	0.3955442157
545	0.3955182917
546	0.3954671971
547	0.3953872194
548	0.3953572003
549	0.3953199487
550	0.3952742734
551	0.3952523937
552	0.3952337157
553	0.3952035519
554	0.3951692089
555	0.3951110344
556	0.3950539157
557	0.3949785953
558	0.394925953
559	0.3949109969
560	0.3948830397
561	0.3948053458
562	0.3947690077
563	0.3947367346
564	0.3946765582
565	0.3946724055
566	0.3946088714
567	0.3946082696
568	0.3945633255
569	0.3945306327
570	0.3945066172
571	0.3944688319
572	0.3944227697
573	0.3943881342
574	0.3943785522
575	0.3943601717
576	0.3943197521
577	0.3942679503
578	0.3942360083
579	0.3942020859
580	0.3941919397
581	0.3941401508
582	0.3940896191
583	0.3940254541
584	0.393975282
585	0.3939302199
586	0.3938827678
587	0.3938437818
588	0.3938023844
589	0.3938020481
590	0.3937594571
591	0.3937305086
592	0.3937292033
593	0.3936704815
594	0.3936140983
595	0.3935870507
596	0.3935516615
597	0.3934614057
598	0.3933969606
599	0.3933644103
600	0.3933300037
601	0.3932860713
602	0.3932570282
603	0.39323806
604	0.3931931162
605	0.3931880545
606	0.3931731124
607	0.3931388578
608	0.3931136139
609	0.3930969755
610	0.393090936
611	0.3930231239
612	0.3929645849
613	0.392947103
614	0.3929317936
615	0.3929090038
616	0.3928711785
617	0.392822936
618	0.3927854316
619	0.3927325452
620	0.3926919293
621	0.3926431305
622	0.3926160888
623	0.3926009865
624	0.3925690349
625	0.3925469965
626	0.3925200315
627	0.3924699781
628	0.3924451401
629	0.392411623
630	0.3923984314
631	0.3923604351
632	0.3923091771
633	0.3922795235
634	0.3922501896
635	0.3922282828
636	0.3921937787
637	0.392176754
638	0.392126136
639	0.3921259283
640	0.392124776
641	0.3920810281
642	0.3920573892
643	0.3920030235
644	0.3919471587
645	0.3918889177
646	0.3918127369
647	0.3917581752
648	0.391712823
649	0.3916779468
650	0.3916285965
651	0.3916095126
652	0.3915711535
653	0.3915450958
654	0.3915031911
655	0.3914731164
656	0.3914574071
657	0.3914268194
658	0.3914064927
659	0.3913700455
660	0.3913454748
661	0.3913115489
662	0.3912761575
663	0.3912355968
664	0.3911869915
665	0.3911412292
666	0.3911023798
667	0.3910707066
668	0.3910535316
669	0.3910178155
670	0.3910135466
671	0.3909867998
672	0.3909760681
673	0.3909281051
674	0.3909132977
675	0.3908573195
676	0.3908325236
677	0.3907631952
678	0.390729788
679	0.390702385
680	0.3907017714
681	0.3906457937
682	0.3906260323
683	0.3906024744
684	0.3905995937
685	0.3905807905
686	0.3905414849
687	0.3905324206
688	0.39047281
689	0.3904372639
690	0.3904205954
691	0.3903872128
692	0.3903583809
693	0.390306595
694	0.3902660939
695	0.3902405151
696	0.3902049504
697	0.3901394616
698	0.3901053076
699	0.3901015746
700	0.3900527246
701	0.3900173968
702	0.3900154455
703	0.3900097187
704	0.3899913667
705	0.3899908239
706	0.3899895321
707	0.3899425446
708	0.3898875201
709	0.389866558
710	0.3898471427
711	0.3898167148
712	0.3897843747
713	0.3897583884
714	0.3897455262
715	0.3897176718
716	0.3897077465
717	0.3896471708
718	0.3896357471
719	0.3895988323
720	0.3895503913
721	0.3895258427
722	0.3894785274
723	0.3894346433
724	0.3893827757
725	0.3893597949
726	0.3893285341
727	0.3893233415
728	0.3892967929
729	0.3892546371
730	0.389239719
731	0.38918402
732	0.3891187925
733	0.3890788836
734	0.3890511805
735	0.3890214793
736	0.3889481422
737	0.3889152549
738	0.388895748
739	0.3888872972
740	0.3888502034
741	0.3888227825
742	0.3887987948
743	0.3887787289
744	0.3887406061
745	0.3887080396
746	0.3886658925
747	0.3886152469
748	0.38855901
749	0.3885082103
750	0.3884888663
751	0.3884794465
752	0.3884391113
753	0.388430636
754	0.3883741237
755	0.3882989212
756	0.3882724799
757	0.388250196
758	0.3881746862
759	0.3881532256
760	0.3881270985
761	0.388072425
762	0.3880571028
763	0.3880467185
764	0.3880392725
765	0.3880285773
766	0.3880056061
767	0.3879605172
768	0.3879397987
769	0.3879354185
770	0.3879150702
771	0.3878510635
772	0.3877939273
773	0.3877867108
774	0.3877667467
775	0.3877482465
776	0.3877332395
777	0.3876756904
778	0.3876735327
779	0.387671819
780	0.3876705013
781	0.3876370517
782	0.3875900716
783	0.3875842589
784	0.3875574564
785	0.3875569305
786	0.387534671
787	0.3875085759
788	0.3874785993
789	0.3874389422
790	0.3874091794
791	0.3873709956
792	0.3873561405
793	0.3873385339
794	0.3873383029
795	0.387333819
796	0.3873157837
797	0.3872735137
798	0.3872651191
799	0.3872235009
800	0.3872045966
801	0.3871609215
802	0.3871447696
803	0.3871420247
804	0.387114166
805	0.387097232
806	0.3870780817
807	0.3870530446
808	0.3870469716
809	0.38703039
810	0.3869899152
811	0.3869329174
812	0.3869170595
813	0.3868988449
814	0.3868946053
815	0.3868774661
816	0.3868423483
817	0.3868168086
818	0.3868147028
819	0.3867769
820	0.3867414142
821	0.3867181586
822	0.3866999472
823	0.3866534588
824	0.3866350727
825	0.3866247385
826	0.3866019453
827	0.3865761911
828	0.3865675644
829	0.3865474814
830	0.3865029344
831	0.3864840492
832	0.3864423946
833	0.3863983048
834	0.3863641303
835	0.386335827
836	0.386322661
837	0.3862951736
838	0.3862718286
839	0.3862230322
840	0.3861829416
841	0.3861599643
842	0.3861545308
843	0.3861237054
844	0.386097999
845	0.3860462242
846	0.3860338188
847	0.3860107674
848	0.3860057493
849	0.3859687408
850	0.3859487733
851	0.3859482434
852	0.3859344682
853	0.3858955917
854	0.3858954563
855	0.3858526618
856	0.3858339135
857	0.3857926954
858	0.3857498467
859	0.3857441987
860	0.3857003482
861	0.3856646221
862	0.3856462694
863	0.3856104527
864	0.3855957177
865	0.3855481711
866	0.3855123986
867	0.3855016093
868	0.385480518
869	0.3854743531
870	0.3854656645
871	0.3854276257
872	0.3854074056
873	0.3853823448
874	0.3853479971
875	0.3853355355
876	0.3852788184
877	0.3852396715
878	0.3851884202
879	0.3851758425
880	0.3851506116
881	0.3851464427
882	0.3851145688
883	0.3850634042
884	0.3850588534
885	0.3850330961
886	0.3850325481
887	0.3850245171
888	0.3850242363
889	0.3850095733
890	0.3849677741
891	0.3849615662
892	0.3849611212
893	0.3849518387
894	0.3849250015
895	0.3848996453
896	0.3848676482
897	0.3848545019
898	0.3848366543
899	0.3848218898
900	0.3847711762
901	0.384718334
902	0.3846784277
903	0.3846432946
904	0.3846233693
905	0.3845888422
906	0.3845333397
907	0.3845048266
908	0.3844707389
909	0.3844054682
910	0.3843623361
911	0.3843198019
912	0.3842567612
913	0.3842185036
914	0.3842042869
915	0.384193447
916	0.3841787678
917	0.3841785857
918	0.3841556832
919	0.3841397266
920	0.3840710175
921	0.384062639
922	0.3840296953
923	0.3839940361
924	0.3839878928
925	0.3839609164
926	0.383943796
927	0.3839144978
928	0.3838989922
929	0.3838878774
930	0.3838791349
931	0.3838275895
932	0.3837911523
933	0.3837634926
934	0.3837317212
935	0.3837310804
936	0.3837288539
937	0.383723674
938	0.3836953564
939	0.3836599153
940	0.3835844848
941	0.3834986115
942	0.3834637117
943	0.3834442653
944	0.383419992
945	0.383400458
946	0.3833758854
947	0.3833471698
948	0.3833379298
949	0.383302514
950	0.3832613656
951	0.3832277053
952	0.3832202379
953	0.3831626774
954	0.3831492858
955	0.3831273245
956	0.3831263554
957	0.383112621
958	0.3830904754
959	0.3830893451
960	0.3830703303
961	0.3830491302
962	0.3830297223
963	0.3829872976
964	0.3829864919
965	0.3829417482
966	0.3829154682
967	0.3828681873
968	0.3828478156
969	0.3828463441
970	0.3828117683
971	0.3827785158
972	0.3827610516
973	0.382723099
974	0.3827125067
975	0.3827027131
976	0.3826857055
977	0.382663874
978	0.382645394
979	0.382606519
980	0.3825981657
981	0.3825800939
982	0.3825405602
983	0.382531537
984	0.3824856692
985	0.382464203
986	0.382463905
987	0.3824513452
988	0.3824288804
989	0.3823800327
990	0.3823771013
991	0.3823215352
992	0.3823100333
993	0.3822977049
994	0.3822716194
995	0.3822704239
996	0.3822699433
997	0.3822622088
998	0.3822538468
999	0.3822535892
