iter	Passed	Remaining
399	35210	52816
400	35300	52731
401	35364	52607
402	35451	52517
403	35527	52411
404	35626	52339
405	35709	52244
406	35798	52157
407	35887	52071
408	35956	51957
409	36043	51867
410	36129	51776
411	36195	51657
412	36257	51532
413	36318	51407
414	36385	51290
415	36463	51188
416	36559	51113
417	36639	51014
418	36706	50898
419	36790	50806
420	36875	50714
421	36944	50601
422	37029	50510
423	37117	50423
424	37201	50331
425	37287	50242
426	37371	50149
427	37459	50063
428	37541	49967
429	37625	49876
430	37711	49785
431	37790	49686
432	37853	49568
433	37936	49475
434	38014	49375
435	38099	49284
436	38184	49194
437	38269	49103
438	38347	49004
439	38439	48922
440	38518	48825
441	38591	48720
442	38669	48620
443	38740	48512
444	38821	48418
445	38908	48329
446	38997	48245
447	39106	48184
448	39219	48129
449	39331	48072
450	39434	48003
451	39526	47921
452	39614	47834
453	39711	47758
454	39796	47668
455	39891	47589
456	39977	47500
457	40078	47429
458	40169	47345
459	40260	47262
460	40351	47178
461	40449	47103
462	40571	47056
463	40695	47010
464	40790	46930
465	40901	46870
466	40987	46780
467	41095	46715
468	41196	46642
469	41289	46560
470	41374	46469
471	41460	46379
472	41534	46276
473	41631	46198
474	41712	46103
475	41797	46012
476	41881	45920
477	41941	45802
478	42022	45706
479	42091	45598
480	42160	45490
481	42245	45401
482	42317	45296
483	42383	45185
484	42481	45109
485	42576	45028
486	42669	44947
487	42759	44862
488	42854	44782
489	42937	44690
490	43025	44602
491	43085	44486
492	43172	44398
493	43262	44313
494	43338	44214
495	43428	44128
496	43504	44029
497	43598	43948
498	43682	43858
499	43781	43781
500	43875	43700
501	43950	43600
502	44036	43511
503	44118	43417
504	44202	43327
505	44273	43223
506	44346	43121
507	44448	43048
508	44522	42948
509	44611	42862
510	44705	42780
511	44794	42694
512	44890	42615
513	44974	42524
514	45062	42437
515	45163	42362
516	45250	42274
517	45323	42173
518	45416	42090
519	45503	42003
520	45603	41927
521	45710	41857
522	45806	41777
523	45915	41709
524	46026	41643
525	46122	41563
526	46226	41489
527	46312	41400
528	46401	41314
529	46470	41209
530	46587	41147
531	46702	41084
532	46800	41004
533	46892	40920
534	46991	40843
535	47083	40758
536	47181	40679
537	47262	40586
538	47356	40503
539	47451	40421
540	47540	40334
541	47627	40245
542	47713	40156
543	47802	40069
544	47903	39992
545	48004	39915
546	48111	39843
547	48227	39778
548	48335	39707
549	48421	39617
550	48517	39536
551	48595	39439
552	48673	39343
553	48757	39252
554	48841	39161
555	48958	39096
556	49055	39015
557	49165	38944
558	49240	38846
559	49315	38748
560	49404	38660
561	49497	38576
562	49581	38484
563	49663	38392
564	49786	38331
565	49877	38245
566	49990	38176
567	50070	38082
568	50183	38012
569	50270	37923
570	50367	37841
571	50440	37742
572	50520	37648
573	50605	37557
574	50682	37461
575	50769	37372
576	50867	37290
577	50970	37213
578	51059	37126
579	51154	37042
580	51242	36954
581	51331	36867
582	51415	36775
583	51500	36685
584	51592	36599
585	51686	36515
586	51773	36426
587	51859	36336
588	51947	36248
589	52008	36141
590	52096	36053
591	52176	35959
592	52242	35855
593	52323	35763
594	52410	35674
595	52494	35583
596	52579	35493
597	52676	35411
598	52773	35328
599	52862	35241
600	52945	35150
601	53030	35059
602	53109	34965
603	53201	34880
604	53287	34790
605	53357	34690
606	53440	34599
607	53523	34508
608	53602	34414
609	53676	34317
610	53742	34215
611	53831	34128
612	53919	34040
613	54001	33948
614	54090	33861
615	54178	33773
616	54257	33679
617	54350	33595
618	54434	33504
619	54529	33421
620	54629	33340
621	54728	33259
622	54815	33170
623	54895	33078
624	54975	32985
625	55057	32893
626	55136	32800
627	55229	32715
628	55318	32627
629	55410	32542
630	55490	32449
631	55581	32363
632	55677	32280
633	55766	32193
634	55865	32111
635	55953	32023
636	56038	31934
637	56128	31847
638	56233	31769
639	56307	31672
640	56381	31577
641	56470	31490
642	56553	31399
643	56667	31325
644	56759	31239
645	56857	31157
646	56969	31082
647	57081	31007
648	57175	30922
649	57267	30836
650	57351	30746
651	57430	30652
652	57504	30557
653	57585	30465
654	57677	30379
655	57762	30290
656	57858	30206
657	57957	30123
658	58037	30031
659	58130	29945
660	58205	29851
661	58290	29761
662	58383	29676
663	58490	29597
664	58592	29516
665	58700	29438
666	58799	29355
667	58889	29268
668	58982	29182
669	59102	29110
670	59240	29046
671	59355	28971
672	59435	28878
673	59543	28799
674	59636	28713
675	59745	28635
676	59839	28549
677	59942	28468
678	60026	28377
679	60118	28290
680	60188	28194
681	60288	28111
682	60377	28022
683	60470	27936
684	60544	27841
685	60621	27748
686	60711	27660
687	60792	27568
688	60902	27490
689	61010	27410
690	61098	27321
691	61181	27230
692	61269	27142
693	61361	27055
694	61445	26965
695	61539	26879
696	61629	26791
697	61746	26715
698	61857	26636
699	61938	26544
700	62038	26461
701	62131	26375
702	62205	26280
703	62290	26190
704	62374	26099
705	62452	26007
706	62535	25916
707	62657	25841
708	62768	25762
709	62864	25676
710	62957	25590
711	63068	25510
712	63171	25428
713	63285	25349
714	63368	25258
715	63462	25172
716	63556	25085
717	63653	25000
718	63738	24910
719	63827	24821
720	63928	24738
721	64018	24649
722	64105	24560
723	64206	24476
724	64308	24393
725	64413	24310
726	64509	24224
727	64600	24136
728	64689	24047
729	64784	23961
730	64869	23871
731	64967	23785
732	65063	23699
733	65157	23612
734	65246	23524
735	65331	23434
736	65430	23349
737	65519	23260
738	65606	23170
739	65683	23077
740	65772	22989
741	65861	22900
742	65947	22810
743	66041	22723
744	66149	22641
745	66247	22556
746	66350	22471
747	66444	22385
748	66541	22298
749	66635	22211
750	66729	22124
751	66807	22032
752	66912	21948
753	66997	21858
754	67092	21771
755	67185	21684
756	67282	21598
757	67372	21509
758	67476	21425
759	67571	21338
760	67656	21248
761	67759	21163
762	67845	21073
763	67933	20984
764	68005	20890
765	68083	20798
766	68178	20711
767	68277	20625
768	68375	20539
769	68459	20448
770	68550	20360
771	68651	20275
772	68773	20195
773	68876	20111
774	68983	20027
775	69087	19942
776	69197	19859
777	69322	19780
778	69395	19687
779	69471	19594
780	69547	19501
781	69638	19413
782	69731	19325
783	69815	19235
784	69910	19147
785	69995	19057
786	70086	18968
787	70181	18881
788	70266	18791
789	70369	18705
790	70465	18618
791	70563	18531
792	70658	18444
793	70739	18353
794	70807	18258
795	70890	18167
796	70976	18078
797	71074	17991
798	71153	17899
799	71240	17810
800	71321	17719
801	71416	17631
802	71495	17540
803	71586	17451
804	71677	17362
805	71759	17272
806	71854	17184
807	71948	17096
808	72023	17004
809	72100	16912
810	72190	16823
811	72278	16734
812	72362	16644
813	72452	16555
814	72533	16464
815	72617	16374
816	72701	16284
817	72786	16194
818	72862	16102
819	72955	16014
820	73044	15925
821	73134	15836
822	73217	15746
823	73297	15655
824	73381	15565
825	73462	15475
826	73548	15385
827	73637	15296
828	73713	15205
829	73809	15117
830	73916	15032
831	73993	14940
832	74081	14851
833	74179	14764
834	74274	14676
835	74366	14588
836	74450	14498
837	74529	14407
838	74612	14317
839	74706	14229
840	74806	14143
841	74898	14054
842	74981	13964
843	75069	13875
844	75165	13787
845	75272	13702
846	75375	13615
847	75457	13525
848	75545	13436
849	75630	13346
850	75712	13256
851	75791	13165
852	75879	13076
853	76007	12994
854	76082	12902
855	76180	12815
856	76279	12728
857	76376	12640
858	76471	12552
859	76546	12461
